"","host_response_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","availability_365","number_of_reviews","first_review","last_review","review_scores_rating","calculated_host_listings_count","date_diff"
"6196","100%","t",2,"f","Roncesvalles",43.64494,-79.43399,"t","Guest suite","Entire home/apt",1,1,1,1,"Real Bed","$75.00","$0.00","$35.00",1,3,124,267,20,"2017-03-19","2019-05-01",98,2,773
"6197","100%","t",2,"t","The Annex",43.67089,-79.39364,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$126.00","$500.00","$79.00",2,3,120,76,71,"2017-01-17","2019-04-26",99,2,829
"6198","N/A","f",1,"f","York University Heights",43.75266,-79.46592,"f","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$99.00","","$19.00",1,2,4,0,7,"2016-11-26","2017-02-15",93,1,81
"6199","100%","f",27,"t","Willowdale",43.77358,-79.4116,"t","House","Private room",2,2.5,1,1,"Real Bed","$35.00","$150.00","$40.00",1,1,30,131,46,"2016-12-20","2019-04-26",95,8,857
"6200","100%","f",7,"f","Entertainment District",43.64235,-79.38282,"t","Condominium","Entire home/apt",5,1,1,1,"Airbed","$59.00","$299.00","$65.00",2,1,1125,113,89,"2016-11-26","2019-05-03",96,3,888
"6201","100%","f",1,"f","Downtown Toronto",43.64652,-79.39658,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$275.00","$200.00","$80.00",1,4,1125,365,60,"2016-11-20","2019-04-19",99,1,880
"6202","100%","t",6,"t","Bayview",43.80238,-79.37409,"t","House","Private room",2,1,1,2,"Real Bed","$35.00","$150.00","$15.00",1,2,200,0,34,"2017-02-04","2018-12-27",99,6,691
"6203","100%","t",1,"t","Downtown Toronto",43.64517,-79.40078,"t","Condominium","Private room",2,1,1,1,"Real Bed","$99.00","$200.00","",1,2,1125,162,132,"2016-11-20","2019-04-29",97,1,890
"6204","N/A","f",1,"f","Scarborough City Centre",43.78098,-79.24727,"t","Townhouse","Entire home/apt",3,2,2,4,"Real Bed","$70.00","$500.00","$62.00",2,365,365,0,8,"2016-11-20","2017-05-29",93,1,190
"6205","100%","t",1,"f","Roncesvalles",43.64709,-79.45138,"t","Guest suite","Private room",1,1,1,1,"Real Bed","$60.00","$200.00","$25.00",1,1,8,158,32,"2017-09-12","2019-04-05",99,1,570
"6206","100%","t",1,"t","Downtown Toronto",43.64828,-79.39175,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$171.00","$500.00","$55.00",2,2,1000,85,113,"2016-12-01","2018-09-16",98,1,654
"6207","100%","t",1,"t","Glen Park",43.71485,-79.45529,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$136.00","$0.00","$25.00",5,3,1000,240,105,"2016-11-06","2019-05-02",97,1,907
"6208","100%","t",1,"t","Dovercourt Park",43.66882,-79.42388,"t","House","Private room",2,1,1,1,"Futon","$42.00","$0.00","$15.00",1,2,7,55,170,"2016-11-11","2019-04-19",98,1,889
"6209","100%","t",3,"t","Niagara",43.63769,-79.40495,"t","Condominium","Entire home/apt",2,1,0,0,"Real Bed","$250.00","$200.00","$80.00",1,2,365,86,114,"2016-12-26","2019-04-21",98,3,846
"6210","100%","t",3,"t","Niagara",43.63905,-79.41532,"f","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$250.00","$200.00","$80.00",2,2,360,80,89,"2016-12-18","2019-05-02",99,3,865
"6211","90%","t",1,"f","Downtown Toronto",43.6446,-79.39152,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$200.00","","",1,1,1125,0,47,"2016-11-24","2019-03-31",92,1,857
"6212","N/A","f",2,"f","Newtonbrook",43.78082,-79.41272,"t","Apartment","Private room",1,1,1,1,"Real Bed","$46.00","$400.00","$20.00",1,3,31,31,3,"2018-03-10","2018-08-08",60,2,151
"6213","100%","f",1,"f","High Park North",43.66027,-79.47939,"t","House","Entire home/apt",6,2,3,3,"Real Bed","$226.00","$500.00","$100.00",1,7,1124,0,3,"2017-04-17","2018-08-10",100,1,480
"6214","N/A","f",1,"f","Dufferin Grove",43.65385,-79.43252,"t","Apartment","Entire home/apt",2,1,2,2,"Real Bed","$58.00","","",1,7,30,0,0,"","",NA,1,NA
"6215","100%","f",1,"f","Oakwood",43.70499,-79.44111,"t","Condominium","Private room",3,1,1,1,"Real Bed","$40.00","$0.00","$15.00",2,2,8,289,58,"2017-06-19","2019-05-05",93,1,685
"6216","N/A","f",1,"t","Davisville",43.70022,-79.39076,"f","Apartment","Shared room",1,1,1,1,"Real Bed","$26.00","","",1,2,1100,125,47,"2017-05-04","2018-12-22",94,1,597
"6217","N/A","f",2,"f","Newtonbrook",43.78063,-79.41447,"t","Condominium","Private room",1,1,1,1,"Real Bed","$42.00","$400.00","$20.00",1,3,14,147,5,"2018-08-07","2018-11-18",84,2,103
"6218","N/A","f",1,"f","Downtown Toronto",43.64524,-79.40314,"t","Condominium","Private room",1,1,1,1,"Real Bed","$70.00","","",1,1,14,0,0,"","",NA,1,NA
"6219","89%","f",7,"t","Trinity-Bellwoods",43.64914,-79.41116,"t","Guest suite","Entire home/apt",4,1,1,1,"Real Bed","$60.00","$200.00","$50.00",1,1,1125,293,49,"2016-11-21","2019-04-27",93,7,887
"6220","89%","f",7,"t","Trinity-Bellwoods",43.65033,-79.41172,"t","Guest suite","Entire home/apt",9,1,2,4,"Real Bed","$99.00","$200.00","$85.00",1,1,1125,255,20,"2017-01-01","2019-04-08",92,7,827
"6221","100%","f",1,"f","Danforth Village",43.68504,-79.3436,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$107.00","$200.00","$0.00",2,2,1125,63,39,"2017-12-24","2018-12-09",97,1,350
"6222","100%","t",3,"f","Downtown Toronto",43.64093,-79.38225,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$200.00","$250.00","$60.00",2,3,1125,12,38,"2017-02-05","2019-04-08",98,3,792
"6223","25%","f",1,"f","The Danforth",43.6832,-79.30926,"t","House","Private room",2,1,1,1,"Real Bed","$75.00","$300.00","",1,1,1125,276,0,"","",NA,1,NA
"6224","100%","f",11,"t","Downtown Toronto",43.66832,-79.38738,"f","House","Private room",2,1,1,1,"Real Bed","$55.00","","$10.00",1,1,1125,355,70,"2016-11-19","2019-04-14",90,10,876
"6225","100%","f",2,"f","Clairlea",43.70581,-79.27776,"t","House","Private room",2,1,1,1,"Real Bed","$43.00","$0.00","$20.00",1,2,50,227,20,"2016-11-13","2018-10-14",96,2,700
"6226","100%","f",1,"f","Niagara",43.64067,-79.40651,"t","House","Entire home/apt",3,2,1,1,"Real Bed","$250.00","$500.00","$120.00",2,2,30,0,20,"2018-05-10","2019-01-01",97,1,236
"6227","N/A","f",2,"t","Downtown Toronto",43.66987,-79.3831,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$146.00","$0.00","$15.00",2,2,5,0,4,"2017-08-27","2017-09-10",100,2,14
"6228","100%","t",3,"f","Downtown Toronto",43.66327,-79.36315,"t","Guest suite","Entire home/apt",2,1,0,1,"Real Bed","$99.00","","$50.00",1,3,1125,241,38,"2017-06-05","2019-04-30",98,1,694
"6229","100%","t",2,"f","Greenwood-Coxwell",43.68,-79.32454,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$81.00","$1,000.00","$100.00",2,3,364,222,40,"2016-12-16","2019-04-22",98,2,857
"6230","100%","t",3,"t","Wallace Emerson",43.66143,-79.45073,"t","House","Entire home/apt",4,1,1,2,"Real Bed","$130.00","$500.00","$50.00",2,1,1125,162,145,"2016-11-30","2019-04-28",98,3,879
"6231","100%","t",2,"f","Downtown Toronto",43.66252,-79.38534,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$140.00","$299.00","$70.00",1,2,1125,226,52,"2016-12-20","2019-03-08",95,2,808
"6232","100%","t",2,"t","Downtown Toronto",43.64076,-79.39848,"t","Condominium","Private room",2,1,1,1,"Real Bed","$160.00","$350.00","",1,3,30,171,54,"2016-11-27","2019-04-30",99,2,884
"6233","100%","t",1,"f","Oakwood",43.70102,-79.44187,"f","House","Private room",1,1,1,1,"Real Bed","$46.00","","",1,3,1125,225,24,"2018-01-26","2019-03-18",97,1,416
"6234","N/A","f",2,"t","Harbourfront",43.63709,-79.39164,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","$338.00","$250.00","$79.00",2,2,1125,90,0,"","",NA,2,NA
"6235","100%","t",1,"t","Eringate",43.64439,-79.58485,"t","House","Private room",2,1,1,1,"Real Bed","$57.00","$300.00","$30.00",1,1,21,0,214,"2016-11-16","2019-05-04",100,1,899
"6236","100%","t",1,"t","Garden District",43.66023,-79.37261,"t","Townhouse","Entire home/apt",5,1.5,1,0,"Real Bed","$129.00","$0.00","$65.00",2,2,1124,2,21,"2017-01-01","2018-10-28",100,1,665
"6237","82%","f",37,"f","Willowdale",43.76068,-79.40925,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$110.00","$700.00","$80.00",2,1,1125,335,27,"2016-11-13","2019-01-28",96,13,806
"6238","N/A","f",1,"f","Parkdale",43.63522,-79.42927,"t","Apartment","Shared room",1,1,1,1,"Real Bed","$27.00","$135.00","$20.00",1,2,100,0,55,"2016-11-16","2018-05-25",99,1,555
"6239","50%","f",2,"f","Stonegate-Queensway",43.63522,-79.4882,"t","Apartment","Private room",1,1,1,1,"Real Bed","$36.00","$0.00","$10.00",1,3,30,337,10,"2016-12-02","2017-10-16",100,1,318
"6240","100%","t",7,"f","Willowdale",43.77797,-79.42189,"t","House","Private room",2,1,1,1,"Real Bed","$38.00","$200.00","$40.00",1,1,1125,0,23,"2016-12-20","2019-04-16",97,7,847
"6241","100%","f",3,"t","Roncesvalles",43.64189,-79.44184,"t","House","Entire home/apt",7,2,2,4,"Real Bed","$133.00","$500.00","$85.00",2,2,1125,169,54,"2016-11-27","2019-04-26",96,3,880
"6242","100%","t",2,"t","Palmerston/Little Italy",43.6565,-79.41559,"t","Apartment","Private room",2,1,1,1,"Real Bed","$75.00","$0.00","$25.00",2,2,7,0,94,"2016-11-13","2019-05-01",98,2,899
"6243","55%","f",1,"f","Sunnybrook",43.74019,-79.37648,"t","House","Entire home/apt",12,8,5,5,"Real Bed","$2,468.00","$6,000.00","$550.00",10,2,1125,273,37,"2016-11-20","2019-04-02",99,1,863
"6244","100%","f",2,"t","Wallace Emerson",43.66128,-79.447,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$64.00","$200.00","$38.00",2,1,1125,116,141,"2017-01-28","2019-04-22",90,2,814
"6245","100%","f",2,"f","Parkwoods",43.76239,-79.33062,"f","House","Entire home/apt",2,1,1,1,"Real Bed","$99.00","$0.00","$19.00",1,1,1125,0,107,"2017-11-10","2019-04-30",93,2,536
"6246","N/A","t",1,"t","Parkdale",43.64211,-79.42414,"t","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$89.00","$500.00","$50.00",2,3,30,0,77,"2016-12-19","2019-01-02",98,1,744
"6247","N/A","f",1,"f","Downtown Toronto",43.64439,-79.38991,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$145.00","$0.00","$35.00",1,2,1125,0,68,"2016-11-12","2017-11-02",92,1,355
"6248","N/A","f",1,"f","Cedarvale Humewood",43.68619,-79.42879,"f","Apartment","Entire home/apt",2,1,1,2,"Real Bed","$1,246.00","","",1,1,1125,180,0,"","",NA,1,NA
"6249","100%","t",1,"t","Broadview North",43.68458,-79.34823,"t","Guest suite","Entire home/apt",4,1,1,2,"Real Bed","$64.00","$0.00","$39.00",2,2,60,98,70,"2016-12-27","2019-03-24",95,1,817
"6250","N/A","f",1,"t","Dufferin Grove",43.65232,-79.43339,"f","Loft","Entire home/apt",2,1,0,1,"Real Bed","$129.00","$199.00","$75.00",1,2,1125,0,17,"2017-04-02","2017-11-11",99,1,223
"6251","0%","f",1,"t","Downtown Toronto",43.64108,-79.38399,"f","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$150.00","$500.00","$25.00",1,1,2,216,11,"2017-05-06","2017-09-24",100,1,141
"6252","N/A","f",1,"f","Downtown Toronto",43.66628,-79.37504,"t","Apartment","Private room",2,1,1,1,"Real Bed","$125.00","$0.00","$0.00",1,2,7,0,14,"2016-11-26","2017-09-17",100,1,295
"6253","100%","f",18,"f","Armour Heights",43.76139,-79.41101,"t","Serviced apartment","Entire home/apt",3,1,1,1,"Real Bed","$175.00","$250.00","$95.00",1,30,1125,277,3,"2017-05-01","2017-08-20",93,18,111
"6254","100%","f",18,"f","Armour Heights",43.76028,-79.41044,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$175.00","$250.00","$95.00",1,30,1125,277,4,"2017-02-02","2018-03-25",100,18,416
"6255","","",NA,"","Downtown Toronto",43.64649,-79.38115,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","$350.00","$500.00","$99.00",2,2,1125,172,149,"2016-11-13","2019-04-26",99,3,894
"6256","100%","f",27,"t","Willowdale",43.77133,-79.41066,"t","House","Private room",2,2.5,1,1,"Real Bed","$35.00","$150.00","$40.00",1,1,30,170,56,"2016-11-30","2019-03-30",93,8,850
"6257","100%","f",18,"f","Armour Heights",43.76015,-79.41102,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$165.00","$250.00","$95.00",1,30,1125,273,4,"2016-11-21","2018-07-13",80,18,599
"6258","100%","f",18,"f","Willowdale",43.75993,-79.41025,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$175.00","$250.00","$95.00",1,30,1125,281,5,"2017-02-07","2019-03-03",92,18,754
"6259","85%","f",84,"f","Downtown Toronto",43.63996,-79.39747,"t","Serviced apartment","Entire home/apt",2,1,1,1,"Real Bed","$152.00","$250.00","$300.00",1,60,1125,89,1,"2017-01-14","2017-01-14",80,12,0
"6260","100%","f",2,"t","Pellam Park",43.67592,-79.4647,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$39.00","","$65.00",1,5,1125,56,18,"2017-02-03","2019-03-24",86,2,779
"6261","100%","f",1,"t","Downtown Toronto",43.6692,-79.37368,"f","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$43.00","$500.00","$0.00",1,1,1125,0,2,"2016-12-06","2016-12-23",100,1,17
"6262","100%","f",22,"f","Downtown Toronto",43.65453,-79.37352,"t","Serviced apartment","Entire home/apt",8,1,2,4,"Real Bed","$129.00","$500.00","$20.00",1,1,14,208,324,"2016-11-12","2019-04-21",88,22,890
"6263","100%","f",10,"t","Downtown Toronto",43.65785,-79.38258,"t","Condominium","Entire home/apt",2,1,1,2,"Real Bed","$248.00","$299.00","$99.00",2,21,1124,361,3,"2018-06-11","2018-09-26",93,8,107
"6264","100%","f",23,"f","Dufferin Grove",43.64951,-79.43125,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","$75.00","$300.00","$60.00",2,1,1125,122,34,"2016-11-20","2018-11-28",90,14,738
"6265","N/A","t",1,"t","Niagara",43.6369,-79.40185,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","$98.00","$150.00","$45.00",3,2,1124,3,40,"2016-11-21","2019-01-01",98,1,771
"6266","100%","f",5,"t","Downtown Toronto",43.64201,-79.3825,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$99.00","$300.00","$49.00",2,1,120,0,15,"2016-12-02","2017-01-31",87,4,60
"6267","N/A","f",1,"f","Pleasant View",43.77589,-79.33688,"t","Apartment","Private room",1,1.5,1,1,"Real Bed","$81.00","","",1,1,1125,173,0,"","",NA,1,NA
"6268","100%","t",3,"f","Downtown Toronto",43.64097,-79.38303,"t","Apartment","Entire home/apt",5,1.5,2,3,"Real Bed","$160.00","$500.00","$80.00",1,2,1125,14,206,"2016-11-20","2019-05-05",100,3,896
"6269","100%","f",2,"t","Downsview",43.72668,-79.51079,"f","House","Private room",1,1,1,1,"Real Bed","$26.00","$0.00","$11.00",1,2,21,10,105,"2017-01-15","2019-05-01",98,2,836
"6270","90%","t",2,"t","Palmerston/Little Italy",43.65692,-79.41008,"t","House","Entire home/apt",3,1,1,1,"Real Bed","$209.00","$200.00","$75.00",2,2,1125,276,83,"2017-01-01","2019-02-17",100,2,777
"6271","100%","f",3,"t","Roncesvalles",43.64087,-79.44241,"t","Apartment","Entire home/apt",4,1,1,4,"Real Bed","$95.00","$300.00","$55.00",2,1,1125,170,50,"2016-11-27","2019-04-29",92,3,883
"6272","N/A","f",1,"t","Downtown Toronto",43.67062,-79.37833,"t","Apartment","Entire home/apt",3,1,0,1,"Real Bed","$74.00","$150.00","$20.00",4,3,1125,0,3,"2017-01-02","2019-01-20",100,1,748
"6273","100%","f",6,"f","Saint Andrew/Windfields",43.75081,-79.37717,"t","Villa","Private room",1,1,1,1,"Real Bed","$70.00","","$10.00",1,2,1125,365,6,"2016-11-13","2018-08-13",90,6,638
"6274","100%","f",4,"t","Richview",43.6843,-79.53199,"t","House","Private room",2,0.5,1,1,"Real Bed","$36.00","$0.00","$25.00",1,15,60,3,10,"2017-01-04","2018-10-07",89,1,641
"6275","100%","t",1,"f","Dovercourt Park",43.66604,-79.43486,"t","Apartment","Entire home/apt",3,1,1,1,"Futon","$44.00","$127.00","$0.00",2,2,14,0,72,"2017-01-03","2018-07-29",94,1,572
"6276","100%","t",1,"t","Hillcrest Village",43.80971,-79.36388,"t","House","Entire home/apt",3,1,0,1,"Real Bed","$70.00","$0.00","$15.00",1,2,1125,0,58,"2016-12-27","2019-04-17",93,1,841
"6277","N/A","f",1,"t","Downtown Toronto",43.64954,-79.39254,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","$110.00","$0.00","$100.00",1,15,1125,1,14,"2017-02-28","2018-03-19",97,1,384
"6278","100%","f",3,"t","Roncesvalles",43.64194,-79.44024,"t","House","Entire home/apt",2,1,1,1,"Real Bed","$85.00","$300.00","$50.00",2,1,1125,32,53,"2017-01-31","2019-04-26",93,3,815
"6279","100%","f",5,"t","Fashion District",43.64493,-79.40003,"t","Loft","Entire home/apt",5,1.5,1,3,"Real Bed","$160.00","$1,499.00","$100.00",3,1,90,362,79,"2016-11-27","2019-04-27",96,3,881
"6280","90%","t",1,"f","Roncesvalles",43.64147,-79.44972,"t","House","Entire home/apt",10,2.5,5,5,"Real Bed","$316.00","$1,000.00","$150.00",4,2,1125,136,28,"2017-04-28","2019-04-28",97,1,730
"6281","100%","f",2,"f","Scarborough Junction",43.72239,-79.25935,"t","House","Private room",1,1,1,1,"Real Bed","$30.00","$0.00","$30.00",1,1,200,144,20,"2016-11-27","2019-04-11",86,2,865
"6282","100%","t",2,"t","Roncesvalles",43.64782,-79.45307,"t","House","Entire home/apt",6,2.5,2,2,"Real Bed","$375.00","$1,500.00","$145.00",1,3,168,186,14,"2017-08-28","2018-12-12",100,1,471
"6283","100%","f",1,"t","Islington",43.6235,-79.52468,"t","Apartment","Entire home/apt",6,1,2,3,"Real Bed","$101.00","$673.00","$135.00",4,3,30,64,4,"2017-03-07","2017-10-22",100,1,229
"6284","100%","f",2,"f","The Annex",43.67069,-79.39073,"t","Condominium","Entire home/apt",4,1,2,2,"Real Bed","$150.00","$500.00","$80.00",2,4,1125,261,39,"2016-12-02","2019-05-03",93,2,882
"6285","N/A","f",1,"t","Palmerston/Little Italy",43.65827,-79.41058,"t","House","Private room",2,1,1,1,"Real Bed","$90.00","$200.00","$35.00",2,1,1125,0,4,"2017-01-23","2017-09-10",100,1,230
"6286","100%","f",2,"f","Weston",43.70586,-79.5271,"f","Bungalow","Private room",2,1,1,1,"Real Bed","$35.00","$200.00","$20.00",1,2,15,348,47,"2016-11-29","2019-04-26",95,2,878
"6287","100%","f",1,"t","The Beaches",43.66425,-79.30794,"t","House","Entire home/apt",12,3.5,5,5,"Real Bed","$536.00","","",1,7,150,0,0,"","",NA,1,NA
"6288","N/A","f",1,"f","Downtown Toronto",43.64724,-79.39275,"t","Apartment","Private room",2,1,1,1,"Real Bed","$97.00","$200.00","$30.00",1,1,1125,0,4,"2016-11-26","2017-08-28",100,1,275
"6289","100%","f",6,"f","Saint Andrew/Windfields",43.75116,-79.37617,"t","House","Private room",1,1,1,1,"Real Bed","$60.00","","$10.00",1,2,1125,34,6,"2017-08-06","2018-09-04",97,6,394
"6290","100%","f",6,"f","Saint Andrew/Windfields",43.75264,-79.3775,"t","House","Private room",1,1,1,1,"Real Bed","$60.00","","$10.00",1,2,1125,34,1,"2018-09-03","2018-09-03",100,6,0
"6291","100%","t",1,"t","Garden District",43.65454,-79.38013,"t","Apartment","Entire home/apt",2,2,1,1,"Real Bed","$169.00","$299.00","$80.00",2,20,1124,238,21,"2016-12-09","2018-11-19",98,1,710
"6292","N/A","f",2,"t","Downtown Toronto",43.64417,-79.38132,"t","Apartment","Private room",2,1,1,1,"Real Bed","$64.00","","",1,1,1125,0,14,"2017-01-06","2017-06-12",96,1,157
"6293","100%","t",2,"t","Dufferin Grove",43.65007,-79.42124,"t","Apartment","Private room",2,1,1,1,"Real Bed","$46.00","$300.00","$30.00",1,2,1125,268,57,"2017-01-22","2019-04-19",96,2,817
"6294","100%","t",5,"f","Downtown Toronto",43.65137,-79.38174,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$226.00","$2,750.00","$85.00",1,1,500,361,85,"2016-11-27","2019-04-13",97,5,867
"6295","N/A","f",2,"t","Parkdale",43.64308,-79.42216,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$125.00","$200.00","",2,3,1125,0,23,"2016-11-20","2017-08-01",98,1,254
"6296","100%","t",9,"t","Downtown Toronto",43.64389,-79.39047,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$240.00","$750.00","$75.00",4,5,1125,0,13,"2017-01-02","2017-11-07",97,1,309
"6297","N/A","f",1,"t","Downtown Toronto",43.63944,-79.39801,"t","Condominium","Entire home/apt",1,1,1,1,"Real Bed","$299.00","","$100.00",1,3,1125,365,0,"","",NA,1,NA
"6298","100%","t",37,"f","Fashion District",43.64449,-79.40221,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$179.00","$979.00","$80.00",2,1,1125,67,203,"2016-11-17","2019-04-29",99,17,893
"6299","100%","f",2,"t","Downtown Toronto",43.64242,-79.38255,"t","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$247.00","$250.00","$75.00",2,1,365,228,226,"2016-11-27","2019-04-23",96,2,877
"6300","90%","f",2,"t","Downtown Toronto",43.66343,-79.35892,"t","Apartment","Entire home/apt",3,1,2,2,"Real Bed","$101.00","$200.00","$30.00",3,2,90,84,4,"2017-01-07","2019-01-01",87,2,724
"6301","100%","t",1,"f","Trinity-Bellwoods",43.65381,-79.41584,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$70.00","$500.00","$95.00",2,3,1125,295,38,"2016-12-20","2019-02-15",95,1,787
"6302","N/A","f",1,"f","Jane and Finch",43.75691,-79.5126,"f","Bungalow","Private room",1,1,1,1,"Real Bed","$50.00","","",1,1,1125,365,2,"2017-07-19","2017-09-11",60,1,54
"6303","100%","t",2,"t","Entertainment District",43.64336,-79.38512,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","$211.00","$300.00","$70.00",2,1,1125,58,173,"2016-12-02","2019-04-28",97,2,877
"6304","N/A","f",1,"t","Downtown Toronto",43.64063,-79.39687,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$98.00","$150.00","$40.00",2,2,1125,0,5,"2017-01-01","2017-08-09",100,1,220
"6305","100%","t",5,"f","Entertainment District",43.64332,-79.39026,"t","Serviced apartment","Entire home/apt",8,2,3,3,"Real Bed","$125.00","$750.00","$100.00",1,1,1125,201,283,"2016-11-17","2019-05-04",97,5,898
"6306","N/A","f",1,"t","Davisville",43.71299,-79.39258,"t","Apartment","Private room",2,1,1,1,"Real Bed","$50.00","","$50.00",1,1,1125,0,0,"","",NA,1,NA
"6307","N/A","f",1,"f","Roncesvalles",43.64489,-79.45621,"t","Apartment","Private room",2,1,1,1,"Real Bed","$75.00","","",1,1,7,0,9,"2017-02-13","2017-04-02",96,1,48
"6308","N/A","f",1,"t","Bedford Park",43.72505,-79.40334,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$73.00","","$20.00",1,2,1125,0,9,"2016-12-11","2018-11-11",98,1,700
"6309","97%","f",5,"t","Yonge Eglinton",43.70729,-79.39921,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$200.00","$500.00","$70.00",1,5,1125,0,22,"2017-08-14","2019-04-24",98,4,618
"6310","100%","t",1,"f","New Toronto",43.5969,-79.50308,"t","Guest suite","Private room",2,1,1,1,"Real Bed","$55.00","$300.00","$40.00",1,2,1125,165,52,"2017-02-02","2019-04-01",98,1,788
"6311","100%","f",1,"t","Downtown Toronto",43.6425,-79.38114,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$110.00","$300.00","$45.00",1,1,41,17,123,"2017-01-15","2019-04-18",93,1,823
"6312","N/A","f",1,"f","Armour Heights",43.75996,-79.41203,"t","Apartment","Entire home/apt",3,2,2,2,"Real Bed","$129.00","$650.00","$72.00",2,4,30,0,20,"2017-01-09","2018-04-09",98,1,455
"6313","100%","t",1,"f","Yorkville",43.6714,-79.39327,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$119.00","$0.00","$75.00",2,2,300,50,82,"2016-11-28","2019-05-04",99,1,887
"6314","N/A","f",1,"f","Downtown Toronto",43.65526,-79.39366,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$90.00","","$20.00",1,2,1125,87,10,"2017-02-27","2017-12-03",100,1,279
"6315","100%","f",2,"t","Greenwood-Coxwell",43.67205,-79.3259,"f","Bungalow","Private room",2,1,1,1,"Real Bed","$119.00","","",1,2,1125,0,0,"","",NA,2,NA
"6316","96%","f",23,"f","Downtown Toronto",43.64244,-79.38258,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$133.00","$300.00","$65.00",2,1,1125,354,231,"2016-11-26","2019-04-17",96,19,872
"6317","N/A","f",1,"f","Downtown Toronto",43.6641,-79.38476,"f","Apartment","Entire home/apt",5,2,2,2,"Real Bed","$200.00","$500.00","$150.00",1,1,20,0,4,"2017-06-18","2017-07-09",95,1,21
"6318","100%","f",1,"f","Parkwoods",43.75866,-79.32203,"t","Apartment","Private room",2,1,1,1,"Real Bed","$60.00","","$10.00",1,1,31,363,14,"2017-02-03","2018-11-03",86,1,638
"6319","N/A","f",1,"f","Cedarvale Humewood",43.68519,-79.42386,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$56.00","$200.00","$7.00",1,1,30,0,13,"2016-11-27","2017-03-25",95,1,118
"6320","100%","f",3,"t","Pleasant View",43.79536,-79.33786,"t","House","Private room",1,1,1,1,"Real Bed","$30.00","$0.00","$14.00",1,3,1124,230,25,"2017-04-10","2019-01-03",95,2,633
"6321","N/A","f",1,"f","Riverdale",43.66122,-79.33997,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$299.00","","",1,7,10,88,0,"","",NA,1,NA
"6322","100%","f",10,"t","Downtown Toronto",43.65719,-79.38467,"t","Condominium","Entire home/apt",4,1,1,1,"Real Bed","$89.00","$299.00","$113.00",2,14,1124,334,3,"2016-12-10","2019-04-15",93,8,856
"6323","100%","t",1,"f","The Elms",43.72251,-79.54267,"f","Condominium","Private room",1,1,1,1,"Real Bed","$31.00","$135.00","$10.00",1,1,30,6,39,"2016-12-05","2019-05-02",95,1,878
"6324","100%","f",1,"t","Studio District",43.65217,-79.34124,"t","Guesthouse","Entire home/apt",4,1,1,1,"Real Bed","$125.00","$150.00","$50.00",2,2,1125,253,119,"2017-01-10","2019-03-05",99,1,784
